"PRINTINV",".DCDC03-090373","1"
"PRINTINV",".DCDC03-090372","1"
"PRINTINV",".DCDC03-090374","1"
"LOADITEM",".DCDC03-090587","111888","1"
"UNLOADITEM",".DCDC03-090587","111888","1"
"PRINTINV",".DCDC03-090587","1"
"LOADITEM",".DCDC03-090372","111222","1"
"LOADITEM",".DCDC03-090372","111222","1"
"LOADITEM",".DCDC03-090372","111333","1"
"LOADITEM",".DCDC03-090372","111222","1"
"LOADITEM",".DCDC03-090372","111222","1"
"LOADITEM",".DCDC03-090372","111222","1"
"LOADITEM",".DCDC03-090372","111222","1"
"LOADITEM",".DCDC03-090372","111333","1"
"LOADITEM",".DCDC03-090372","111444","1"
"UNLOADITEM",".DCDC03-090372","111222","1"
"UNLOADITEM",".DCDC03-090372","111333","1"
"UNLOADITEM",".DCDC03-090372","111444","1"
"PRINTINV",".DCDC03-090372","1"
"LOADITEM",".DCDC03-090372","111222","1"
"LOADITEM",".DCDC03-090372","111333","1"
"LOADITEM",".DCDC03-090372","111444","1"
"UNLOADITEM",".DCDC03-090372","111222","1"
"UNLOADITEM",".DCDC03-090372","111333","1"
"UNLOADITEM",".DCDC03-090372","111444","1"
"PRINTINV",".DCDC03-090372","1"
"LOADITEM",".DCDC03-090372","111222","1"
"LOADITEM",".DCDC03-090372","111333","1"
"LOADITEM",".DCDC03-090372","111444","1"
"UNLOADITEM",".DCDC03-090372","111222","1"
"UNLOADITEM",".DCDC03-090372","111333","1"
"UNLOADITEM",".DCDC03-090372","111444","1"
"PRINTINV",".DCDC03-090372","1"
